deltaTheta,June25a,June25b,June25c,June25d,June25e,June26a,June26b,June26c,June26d,June26e,June26f,June26g,June26h,June26i,June26j
-23.917,0.1795,0.1391,0.1315,0.1186,0.1133,0.0946,0.086,0.0761,0.0649,0.0524,0.0402,0.0317,0.0242,0.0163,0.0162
-23.603,0.1799,0.1393,0.1311,0.1236,0.1123,0.0947,0.086,0.0763,0.0649,0.0525,0.0403,0.0314,0.0239,0.0157,0.0169
-23.288,0.1807,0.1401,0.1302,0.1275,0.1116,0.0949,0.0863,0.0765,0.0655,0.0528,0.0403,0.0316,0.0241,0.0161,0.0165
-22.973,0.1817,0.1407,0.1276,0.1279,0.1132,0.0957,0.0869,0.0772,0.0658,0.0525,0.0405,0.0318,0.024,0.0161,0.016
-22.659,0.1829,0.141,0.1241,0.1281,0.1162,0.0959,0.0871,0.0775,0.0659,0.0527,0.0407,0.0328,0.0253,0.0175,0.0159
-22.344,0.1841,0.1415,0.1215,0.1283,0.117,0.096,0.0872,0.0778,0.0659,0.0532,0.041,0.0328,0.0253,0.0167,0.0163
-22.029,0.1849,0.142,0.1296,0.1291,0.1172,0.0963,0.0874,0.0779,0.0663,0.0536,0.0411,0.0326,0.0243,0.0161,0.0163
-21.715,0.1847,0.1429,0.1351,0.1295,0.1175,0.0969,0.0881,0.0784,0.0664,0.0535,0.0411,0.0331,0.025,0.0166,0.016
-21.4,0.185,0.1431,0.1358,0.1298,0.1182,0.0973,0.0883,0.0783,0.0665,0.0534,0.0415,0.0333,0.0262,0.018,0.0159
-21.085,0.1856,0.1434,0.1357,0.1306,0.1186,0.0976,0.0885,0.0785,0.0666,0.0541,0.0417,0.0332,0.0258,0.017,0.0161
-20.77,0.1862,0.1436,0.136,0.1315,0.1187,0.0978,0.0887,0.0787,0.0672,0.0543,0.0419,0.0325,0.0245,0.0159,0.0165
-20.456,0.1927,0.1442,0.1367,0.1322,0.119,0.098,0.0892,0.079,0.0673,0.0544,0.0414,0.0325,0.0245,0.016,0.0162
-20.141,0.2379,0.1445,0.1372,0.1324,0.1195,0.0987,0.0895,0.0798,0.0673,0.0541,0.0417,0.033,0.0255,0.0177,0.0161
-19.826,0.2439,0.1449,0.1378,0.1326,0.1204,0.0986,0.0896,0.0795,0.0672,0.0547,0.0418,0.0332,0.0259,0.0181,0.016
-19.512,0.2059,0.1463,0.1384,0.1337,0.121,0.0988,0.0896,0.0797,0.0673,0.0548,0.042,0.0325,0.025,0.0162,0.0166
-19.197,0.1916,0.1473,0.1391,0.1344,0.1211,0.0992,0.0898,0.0797,0.0678,0.0548,0.0418,0.0327,0.0246,0.0162,0.0164
-18.882,0.1908,0.1481,0.1402,0.135,0.1218,0.1,0.0906,0.0804,0.0677,0.0545,0.042,0.0332,0.0253,0.017,0.0164
-18.568,0.1917,0.1486,0.1405,0.1349,0.1228,0.1004,0.0906,0.0805,0.0675,0.0544,0.0423,0.0335,0.0263,0.0184,0.0162
-18.253,0.1916,0.1494,0.1407,0.1339,0.1228,0.1001,0.0905,0.0803,0.0674,0.0548,0.0426,0.033,0.0254,0.0166,0.0167
-17.938,0.1923,0.1503,0.1419,0.1338,0.1229,0.1001,0.0903,0.0802,0.068,0.0548,0.0428,0.0328,0.0246,0.0165,0.0169
-17.623,0.195,0.1512,0.1426,0.134,0.1225,0.1005,0.091,0.0805,0.0679,0.0548,0.043,0.0328,0.0248,0.0164,0.0164
-17.309,0.1963,0.1518,0.143,0.1343,0.1222,0.1007,0.0908,0.0807,0.0681,0.0548,0.0432,0.0334,0.0254,0.017,0.0162
-16.994,0.1982,0.1522,0.143,0.134,0.1225,0.1008,0.0915,0.0809,0.0683,0.0546,0.0434,0.0336,0.0254,0.0169,0.0162
-16.679,0.1992,0.1532,0.1428,0.1336,0.1228,0.1016,0.092,0.0814,0.0679,0.055,0.0435,0.0331,0.0253,0.0171,0.017
-16.365,0.2006,0.155,0.1429,0.1333,0.1222,0.1017,0.0918,0.0812,0.0677,0.0551,0.0432,0.0332,0.0248,0.0168,0.0165
-16.05,0.2014,0.1559,0.1433,0.1329,0.1217,0.1012,0.0912,0.0809,0.0678,0.0548,0.0437,0.0337,0.026,0.0183,0.0184
-15.735,0.2017,0.1556,0.143,0.1332,0.1218,0.1013,0.0916,0.0807,0.0679,0.0547,0.0437,0.0336,0.0263,0.0186,0.02
-15.42,0.2037,0.1555,0.1435,0.1333,0.1218,0.1013,0.0918,0.081,0.0681,0.0551,0.0439,0.0337,0.0262,0.0177,0.0175
-15.106,0.2037,0.1549,0.1431,0.1338,0.1219,0.1018,0.0914,0.0812,0.068,0.0548,0.0438,0.0334,0.0255,0.0158,0.0177
-14.791,0.2023,0.1545,0.143,0.1333,0.1223,0.1005,0.0907,0.0808,0.0679,0.0542,0.044,0.033,0.0251,0.0165,0.0178
-14.476,0.2013,0.1549,0.143,0.1333,0.1226,0.0999,0.0909,0.0803,0.0679,0.0545,0.0441,0.0329,0.0246,0.0198,0.0176
-14.162,0.2004,0.1549,0.1433,0.1334,0.1226,0.1009,0.0915,0.0803,0.0675,0.0545,0.0442,0.0332,0.0246,0.0163,0.0186
-13.847,0.2006,0.1551,0.1438,0.1331,0.1223,0.1002,0.0911,0.0806,0.068,0.0546,0.0443,0.0341,0.0262,0.0168,0.0174
-13.532,0.203,0.1547,0.1438,0.1339,0.1219,0.1017,0.0919,0.0805,0.0678,0.0546,0.0437,0.0336,0.0259,0.0173,0.0193
-13.218,0.204,0.1545,0.143,0.1337,0.122,0.1025,0.0922,0.0806,0.0676,0.0543,0.0439,0.0336,0.0258,0.017,0.0198
-12.903,0.2036,0.1543,0.1426,0.1343,0.1213,0.1021,0.0917,0.0803,0.0675,0.0543,0.0442,0.0341,0.0262,0.0182,0.0185
-12.588,0.2042,0.1546,0.1428,0.1344,0.1216,0.1017,0.0912,0.0802,0.0674,0.0543,0.044,0.0337,0.0256,0.0166,0.0161
-12.273,0.204,0.1546,0.1428,0.1345,0.1213,0.1015,0.0911,0.0801,0.0673,0.0544,0.044,0.0336,0.025,0.0169,0.0181
-11.959,0.2049,0.1545,0.1432,0.1347,0.1205,0.1014,0.0911,0.0799,0.0673,0.054,0.0442,0.0338,0.026,0.0184,0.0196
-11.644,0.2072,0.1546,0.1442,0.1336,0.1202,0.1013,0.0915,0.0799,0.0673,0.0533,0.0441,0.0338,0.0263,0.0178,0.019
-11.329,0.2062,0.1544,0.1449,0.1326,0.1206,0.1016,0.0916,0.0801,0.067,0.0532,0.0441,0.0337,0.0262,0.0179,0.0165
-11.015,0.2061,0.1557,0.1456,0.1323,0.1203,0.1011,0.0905,0.08,0.0667,0.0536,0.0437,0.0334,0.0251,0.0161,0.0171
-10.7,0.2067,0.157,0.1458,0.1317,0.1204,0.0996,0.0893,0.0791,0.0666,0.0532,0.0442,0.0336,0.026,0.0186,0.0193
